,Train RMSE,Val RMSE,Test RMSE,Test MAE,Test R²,Test MAPE
Random Forest,0.019746999785785476,0.046201939063266154,0.06208342877012214,0.011226235278023692,0.9994297796557698,0.03868369850947952
Gradient Boosting,0.004746253225114452,0.04213579778560074,0.04929117146552975,0.009475618583101779,0.9996405573570256,0.03283958989199397
XGBoost,0.00995434752660994,0.05077693927959066,0.05423644394659802,0.018651383470829848,0.9995648151848155,0.06556959477029331
