,Best Model,Validation RMSE,Validation MAE,Validation R²,Validation MAPE
temp,Gradient Boosting,0.4940847479226201,0.3074323124658039,0.9607643896662891,1.086160811577291
rhum,Gradient Boosting,2.709536307243132,1.7811070493177348,0.9590353079157103,2.5146191154727258
prcp,Gradient Boosting,0.3683311264180695,0.09898077483869523,-0.2441576712347493,119.7905374543579
