,Train RMSE,Val RMSE,Test RMSE,Test MAE,Test R²,Test MAPE
Random Forest,0.041857337578885725,0.08661849548274131,0.05610298665331006,0.005751971037602307,0.9881807939568228,3.7155633083563684
Gradient Boosting,0.0013810242030101233,0.051722886983597345,0.053088388354946975,0.004469851493147123,0.9894168385098154,2.35742474031914
XGBoost,0.0005631341354585209,0.06517458280847586,0.06385153579173118,0.0049207234083927754,0.9846905694943623,2.5973503906565045
