,Train RMSE,Val RMSE,Test RMSE,Test MAE,Test R²,Test MAPE
Random Forest,0.07923229047513167,0.17301980442935486,0.18260846008258444,0.0311434892909386,0.9997724567832466,0.056769344426193545
Gradient Boosting,0.009233855048249017,0.12782973386022609,0.14236635498337138,0.021920924150793438,0.9998616953324968,0.03711113984463984
XGBoost,0.018195885231070845,0.17015073973120493,0.1652544241661411,0.04013136774301529,0.9998136758804321,0.06646539831438843
