timestamp,temperature,humidity,rain_value,source
2026-08-29T09:43:09.005682,29.6,74.7,0,ESP32
2026-08-29T09:43:14.211035,29.6,74.6,0,ESP32
2026-08-29T09:43:19.340337,29.7,74.6,0,ESP32
2026-08-29T09:43:24.498589,29.7,74.5,0,ESP32
2026-08-29T09:43:29.619256,29.7,74.7,0,ESP32
2026-08-29T09:43:34.781259,29.7,74.3,0,ESP32
2026-08-29T09:43:39.942193,29.7,74.5,0,ESP32
2026-08-29T09:43:45.102809,29.7,74.3,0,ESP32
2026-08-29T09:43:50.307638,29.8,74.2,0,ESP32
2026-08-29T09:43:55.441164,29.8,74.2,0,ESP32
2026-08-29T09:44:00.626434,29.8,74.2,0,ESP32
2026-08-29T09:44:05.794651,29.8,74.1,0,ESP32
2026-08-29T09:44:10.930164,29.8,74.1,0,ESP32
2026-08-29T09:44:16.109635,29.8,74.2,0,ESP32
2026-08-29T09:44:21.479929,29.8,74.1,0,ESP32
2026-08-29T09:44:26.604747,29.8,74.1,0,ESP32
2026-08-29T09:44:31.797914,29.8,73.9,0,ESP32
2026-08-29T09:44:36.958803,29.8,74.0,0,ESP32
2026-08-29T09:44:42.120216,29.8,73.8,0,ESP32
2026-08-29T09:44:47.321778,29.9,73.9,0,ESP32
2026-08-29T09:44:52.482912,29.9,73.8,0,ESP32
2026-08-29T09:44:57.683394,29.9,73.6,0,ESP32
2026-08-29T09:45:02.813154,29.9,73.5,0,ESP32
2026-08-29T09:45:07.938254,29.9,73.8,0,ESP32
2026-08-29T09:45:13.066884,29.9,73.5,0,ESP32
2026-08-29T09:45:18.246830,29.9,73.8,0,ESP32
2026-08-29T09:45:23.408296,29.9,73.5,0,ESP32
2026-08-29T09:45:28.612464,30.0,73.6,0,ESP32
2026-08-29T09:45:33.738363,30.0,73.4,0,ESP32
2026-08-29T09:45:38.931933,30.0,73.3,0,ESP32
2026-08-29T09:45:44.094552,30.0,73.4,0,ESP32
2026-08-29T09:45:49.261415,30.0,73.2,0,ESP32
2026-08-29T09:45:54.397932,30.0,73.1,0,ESP32
2026-08-29T09:46:00.749138,30.0,73.2,0,ESP32
2026-08-29T09:46:05.966147,30.0,73.1,0,ESP32
2026-08-29T09:46:11.166718,30.0,73.0,0,ESP32
2026-08-29T09:46:16.328691,30.0,73.3,0,ESP32
2026-08-29T09:46:21.461642,30.0,73.0,0,ESP32
2026-08-29T09:46:26.591164,30.0,73.1,0,ESP32
2026-08-29T09:46:31.718605,30.0,73.0,0,ESP32
2026-08-29T09:46:36.852542,30.0,73.1,0,ESP32
2026-08-29T09:46:42.052297,30.0,73.0,0,ESP32
2026-08-29T09:46:47.179903,30.0,73.1,0,ESP32
2026-08-29T09:46:52.373636,29.9,73.2,0,ESP32
2026-08-29T09:46:57.517265,29.9,73.2,0,ESP32
2026-08-29T09:47:02.644190,29.9,73.2,0,ESP32
2026-08-29T09:47:07.795978,29.9,73.4,0,ESP32
2026-08-29T09:47:12.979470,29.9,73.5,0,ESP32
2026-08-29T09:47:18.185424,29.9,73.4,0,ESP32
2026-08-29T09:47:23.331779,29.9,73.4,0,ESP32
2026-08-29T09:47:28.541771,29.9,73.4,0,ESP32
2026-08-29T09:47:33.665752,29.9,73.4,0,ESP32
2026-08-29T09:47:38.863902,29.9,73.6,0,ESP32
2026-08-29T09:47:43.990056,29.9,73.2,0,ESP32
2026-08-29T09:47:49.191247,29.9,73.4,0,ESP32
2026-08-29T09:47:54.395736,29.9,73.6,0,ESP32
2026-08-29T09:47:59.531960,29.9,73.3,0,ESP32
2026-08-29T09:48:04.711649,29.9,73.6,0,ESP32
2026-08-29T09:48:09.841337,29.9,73.2,0,ESP32
2026-08-29T09:48:15.030244,29.8,73.5,0,ESP32
2026-08-29T09:48:20.152921,29.9,73.6,0,ESP32
2026-08-29T09:48:25.311477,29.9,73.5,0,ESP32
2026-08-29T09:48:30.518336,29.9,73.6,0,ESP32
2026-08-29T09:48:35.648666,29.9,73.5,0,ESP32
2026-08-29T09:48:40.836913,29.9,73.6,0,ESP32
2026-08-29T09:48:45.997764,29.9,73.4,0,ESP32
2026-08-29T09:48:51.192854,29.9,73.7,0,ESP32
2026-08-29T09:48:56.587425,29.9,73.5,0,ESP32
2026-08-29T09:49:01.719476,29.9,73.6,0,ESP32
2026-08-29T09:49:06.889538,29.9,73.5,0,ESP32
2026-08-29T09:49:12.044085,29.9,73.6,0,ESP32
2026-08-29T09:49:17.209625,29.9,73.5,0,ESP32
2026-08-29T09:49:22.351581,29.9,73.6,0,ESP32
2026-08-29T09:49:27.531646,30.0,73.6,0,ESP32
2026-08-29T09:49:32.734611,30.0,73.4,0,ESP32
2026-08-29T09:49:37.859904,30.0,73.5,0,ESP32
2026-08-29T09:49:43.054901,30.0,73.4,0,ESP32
2026-08-29T09:49:48.187444,30.0,73.4,0,ESP32
2026-08-29T09:49:53.377821,30.0,73.3,0,ESP32
2026-08-29T09:49:58.515617,30.2,73.1,0,ESP32
2026-08-29T09:50:03.646941,30.2,72.7,0,ESP32
2026-08-29T09:50:08.773898,30.2,73.0,0,ESP32
2026-08-29T09:50:13.905286,30.2,73.0,0,ESP32
2026-08-29T09:50:19.037062,30.2,72.9,0,ESP32
2026-08-29T09:50:24.222727,30.2,72.7,0,ESP32
2026-08-29T09:50:29.422699,30.2,72.5,0,ESP32
2026-08-29T09:50:34.624485,30.3,72.5,0,ESP32
2026-08-29T09:50:39.826694,30.3,72.3,0,ESP32
2026-08-29T09:50:45.029455,30.3,72.2,0,ESP32
2026-08-29T09:50:50.313474,30.3,72.2,0,ESP32
2026-08-29T09:50:55.473456,30.4,72.0,0,ESP32
2026-08-29T09:51:00.675260,30.4,71.9,0,ESP32
2026-08-29T09:51:05.836759,30.4,71.9,0,ESP32
2026-08-29T09:51:11.039169,30.4,71.8,0,ESP32
2026-08-29T09:51:16.166185,30.5,71.6,0,ESP32
2026-08-29T09:51:21.366961,30.5,71.6,0,ESP32
2026-08-29T09:51:26.493510,30.5,71.5,0,ESP32
2026-08-29T09:51:31.723950,30.5,71.4,0,ESP32
2026-08-29T09:51:36.884400,30.5,71.4,0,ESP32
2026-08-29T09:51:42.044713,30.5,71.2,0,ESP32
2026-08-29T09:51:47.178628,30.5,71.1,0,ESP32
2026-08-29T09:51:52.367002,30.5,71.0,0,ESP32
2026-08-29T09:51:57.529050,30.5,71.0,0,ESP32
2026-08-29T09:52:02.689188,30.5,70.8,0,ESP32
2026-08-29T09:52:07.891852,30.5,70.9,0,ESP32
2026-08-29T09:52:13.029700,30.5,70.8,0,ESP32
2026-08-29T09:52:18.155987,30.5,70.8,0,ESP32
2026-08-29T09:52:23.290135,30.5,70.7,0,ESP32
2026-08-29T09:52:28.454095,30.5,70.7,0,ESP32
2026-08-29T09:52:33.663326,30.5,70.7,0,ESP32
2026-08-29T09:52:38.863396,30.5,70.6,0,ESP32
2026-08-29T09:52:44.088225,30.5,70.6,0,ESP32
2026-08-29T09:52:49.241664,30.5,70.8,0,ESP32
2026-08-29T09:52:54.429269,30.5,70.5,0,ESP32
2026-08-29T09:52:59.608298,30.5,70.6,0,ESP32
2026-08-29T09:53:04.864871,30.5,70.7,0,ESP32
2026-08-29T09:53:10.017049,30.5,70.6,0,ESP32
2026-08-29T09:53:15.148021,30.5,70.8,0,ESP32
2026-08-29T09:53:20.275016,30.5,70.7,0,ESP32
2026-08-29T09:53:25.403890,30.5,70.6,0,ESP32
2026-08-29T09:53:30.616348,30.4,70.8,0,ESP32
2026-08-29T09:53:35.792469,30.4,70.8,0,ESP32
2026-08-29T09:53:40.992904,30.5,70.7,0,ESP32
2026-08-29T09:53:46.194407,30.4,70.8,0,ESP32
2026-08-29T09:53:51.357561,30.4,70.8,0,ESP32
2026-08-29T09:53:56.532335,30.4,70.8,0,ESP32
2026-08-29T09:54:01.826899,30.4,70.8,0,ESP32
2026-08-29T09:54:06.964024,30.4,70.9,0,ESP32
2026-08-29T09:54:12.164882,30.4,70.8,0,ESP32
2026-08-29T09:54:17.289460,30.5,70.8,0,ESP32
2026-08-29T09:54:22.425799,30.4,70.9,0,ESP32
2026-08-29T09:54:27.650450,30.4,71.0,0,ESP32
2026-08-29T09:54:32.849934,30.4,71.0,0,ESP32
2026-08-29T09:54:38.009611,30.4,71.1,0,ESP32
2026-08-29T09:54:43.195083,30.3,71.1,0,ESP32
2026-08-29T09:54:48.322124,30.4,71.1,0,ESP32
2026-08-29T09:54:53.493250,30.4,71.1,0,ESP32
2026-08-29T09:54:58.622678,30.4,71.1,0,ESP32
2026-08-29T09:55:03.752524,30.4,71.1,0,ESP32
2026-08-29T09:55:08.936883,30.4,71.1,0,ESP32
2026-08-29T09:55:14.068517,30.4,71.1,0,ESP32
2026-08-29T09:55:19.207802,30.4,71.0,0,ESP32
2026-08-29T09:55:24.385548,30.4,71.4,0,ESP32
2026-08-29T09:55:29.543017,30.5,66.9,0,ESP32
2026-08-29T09:55:34.803586,30.4,70.3,0,ESP32
2026-08-29T09:55:39.989562,30.4,70.9,0,ESP32
2026-08-29T09:55:45.186313,30.4,70.9,0,ESP32
2026-08-29T09:55:50.305602,30.4,70.9,0,ESP32
2026-08-29T09:55:55.462630,30.4,70.9,0,ESP32
2026-08-29T09:56:00.611945,30.4,70.9,0,ESP32
2026-08-29T09:56:05.790488,30.4,70.9,0,ESP32
2026-08-29T09:56:10.980939,30.4,70.8,0,ESP32
2026-08-29T09:56:16.241578,30.5,70.7,0,ESP32
2026-08-29T09:56:21.395748,30.4,70.8,0,ESP32
2026-08-29T09:56:26.659774,30.5,70.7,0,ESP32
2026-08-29T09:56:31.869545,30.4,70.7,0,ESP32
2026-08-29T09:56:37.088293,30.4,70.8,0,ESP32
2026-08-29T09:56:42.226724,30.4,70.7,0,ESP32
2026-08-29T09:56:47.515033,30.5,70.7,0,ESP32
2026-08-29T09:56:52.766433,30.4,70.5,0,ESP32
2026-08-29T09:56:57.976406,30.4,70.7,0,ESP32
2026-08-29T09:57:03.173749,30.4,70.8,0,ESP32
2026-08-29T09:57:08.305259,30.4,70.8,0,ESP32
2026-08-29T09:57:13.522576,30.4,70.8,0,ESP32
2026-08-29T09:57:18.657082,30.4,70.8,0,ESP32
2026-08-29T09:57:23.892171,30.4,70.8,0,ESP32
2026-08-29T09:57:29.081692,30.4,70.8,0,ESP32
2026-08-29T09:57:34.226107,30.4,70.8,0,ESP32
2026-08-29T09:57:39.405070,30.3,70.9,0,ESP32
